number of iterations required: 900
---utility for each state (row, column)---
(0, 0) - utility: 99.988
(0, 1) - utility: 98.824
(0, 2) - utility: 98.838
(0, 3) - utility: 93.623
(0, 4) - utility: 92.405
(0, 5) - utility: 91.004
(0, 6) - utility: 97.955
(0, 7) - utility: 97.690
(0, 8) - utility: 97.718
(0, 9) - utility: 92.862
(0, 10) - utility: 88.813
(0, 11) - utility: 85.242
(0, 12) - utility: 82.059
(0, 13) - utility: 80.986
(0, 14) - utility: 79.926
(0, 15) - utility: 75.709
(0, 16) - utility: 74.264
(0, 17) - utility: 71.896
(0, 18) - utility: 69.824
(0, 19) - utility: 66.902
(0, 20) - utility: 65.347
(0, 21) - utility: 64.035
(0, 22) - utility: 62.793
(0, 23) - utility: 61.281
(0, 24) - utility: 62.846
(0, 25) - utility: 63.279
(0, 26) - utility: 64.031
(0, 27) - utility: 67.295
(0, 28) - utility: 67.258
(0, 29) - utility: 72.048
(0, 30) - utility: 71.099
(0, 32) - utility: 71.380
(0, 33) - utility: 70.144
(0, 35) - utility: 68.955
(0, 37) - utility: 62.535
(0, 38) - utility: 61.706
(0, 39) - utility: 60.607
(0, 40) - utility: 59.876
(0, 41) - utility: 59.079
(0, 42) - utility: 59.364
(0, 43) - utility: 58.169
(0, 45) - utility: -99.988
(0, 47) - utility: 82.400
(0, 48) - utility: 82.212
(0, 49) - utility: 78.852
(0, 51) - utility: 73.429
(0, 52) - utility: 66.061
(0, 53) - utility: 65.771
(0, 54) - utility: 64.823
(0, 56) - utility: 52.430
(0, 57) - utility: 58.133
(0, 58) - utility: 58.833
(0, 59) - utility: 57.946
(0, 61) - utility: 53.521
(0, 62) - utility: 52.530
(0, 63) - utility: 54.768
(0, 64) - utility: 54.361
(0, 65) - utility: 49.004
(0, 67) - utility: 52.490
(0, 68) - utility: 53.116
(0, 69) - utility: 52.199
(0, 70) - utility: 52.070
(0, 71) - utility: 53.931
(0, 72) - utility: 58.240
(0, 73) - utility: 60.507
(0, 74) - utility: 66.048
(0, 75) - utility: 74.774
(0, 77) - utility: 76.240
(0, 78) - utility: 75.469
(0, 80) - utility: 68.322
(0, 81) - utility: 67.417
(0, 82) - utility: 64.859
(0, 83) - utility: 62.595
(0, 84) - utility: 65.691
(0, 85) - utility: 65.469
(0, 86) - utility: 64.592
(0, 87) - utility: 63.204
(0, 88) - utility: 62.323
(0, 91) - utility: 56.940
(0, 92) - utility: 56.585
(0, 93) - utility: 56.945
(0, 94) - utility: 56.812
(0, 95) - utility: 57.711
(0, 96) - utility: 60.433
(0, 97) - utility: 59.619
(0, 98) - utility: 57.610
(0, 99) - utility: 60.174
(1, 1) - utility: 89.389
(1, 3) - utility: 61.761
(1, 5) - utility: 89.396
(1, 6) - utility: 98.831
(1, 7) - utility: 98.937
(1, 9) - utility: 63.799
(1, 10) - utility: 65.795
(1, 11) - utility: 65.690
(1, 12) - utility: 65.290
(1, 15) - utility: 59.722
(1, 16) - utility: 60.110
(1, 17) - utility: 60.621
(1, 18) - utility: 60.706
(1, 19) - utility: 60.386
(1, 20) - utility: 59.911
(1, 21) - utility: 60.411
(1, 22) - utility: 59.605
(1, 23) - utility: 62.933
(1, 24) - utility: 62.518
(1, 25) - utility: 64.089
(1, 26) - utility: 64.577
(1, 28) - utility: 66.242
(1, 29) - utility: 72.412
(1, 31) - utility: 69.386
(1, 32) - utility: 68.491
(1, 33) - utility: 67.753
(1, 34) - utility: 66.673
(1, 35) - utility: 65.821
(1, 36) - utility: 64.660
(1, 37) - utility: 63.480
(1, 39) - utility: 58.347
(1, 40) - utility: 60.479
(1, 42) - utility: 57.538
(1, 43) - utility: 54.896
(1, 44) - utility: 55.483
(1, 46) - utility: 77.217
(1, 47) - utility: 83.515
(1, 48) - utility: 83.698
(1, 49) - utility: 78.165
(1, 50) - utility: 77.567
(1, 51) - utility: 75.328
(1, 53) - utility: 65.422
(1, 54) - utility: 64.191
(1, 55) - utility: 61.948
(1, 57) - utility: 60.755
(1, 58) - utility: 59.825
(1, 59) - utility: 58.618
(1, 61) - utility: 55.584
(1, 62) - utility: 52.840
(1, 63) - utility: 55.841
(1, 64) - utility: 54.403
(1, 66) - utility: 52.675
(1, 67) - utility: 54.338
(1, 68) - utility: 54.030
(1, 69) - utility: 52.810
(1, 70) - utility: 52.530
(1, 71) - utility: 54.357
(1, 72) - utility: 59.281
(1, 73) - utility: 62.125
(1, 74) - utility: 66.535
(1, 75) - utility: 78.072
(1, 76) - utility: 79.618
(1, 77) - utility: 77.349
(1, 78) - utility: 75.063
(1, 79) - utility: 71.805
(1, 80) - utility: 69.349
(1, 81) - utility: 67.213
(1, 82) - utility: 61.046
(1, 83) - utility: 61.452
(1, 84) - utility: 65.673
(1, 85) - utility: 66.428
(1, 86) - utility: 64.512
(1, 87) - utility: 65.201
(1, 88) - utility: 63.051
(1, 89) - utility: 60.985
(1, 90) - utility: 56.322
(1, 91) - utility: 57.754
(1, 92) - utility: 57.260
(1, 93) - utility: 55.480
(1, 94) - utility: 57.451
(1, 95) - utility: 58.263
(1, 96) - utility: 60.375
(1, 97) - utility: 60.572
(1, 98) - utility: 57.816
(1, 99) - utility: 61.305
(2, 0) - utility: 29.379
(2, 2) - utility: 34.715
(2, 3) - utility: 36.543
(2, 4) - utility: 36.368
(2, 6) - utility: 99.983
(2, 8) - utility: 37.403
(2, 9) - utility: 41.586
(2, 11) - utility: 52.335
(2, 12) - utility: 52.325
(2, 13) - utility: 49.583
(2, 14) - utility: 49.833
(2, 15) - utility: 59.871
(2, 16) - utility: 60.904
(2, 17) - utility: 59.969
(2, 18) - utility: 58.799
(2, 19) - utility: 57.821
(2, 20) - utility: 57.130
(2, 21) - utility: 56.793
(2, 22) - utility: 56.397
(2, 24) - utility: 63.110
(2, 25) - utility: 65.084
(2, 26) - utility: 66.716
(2, 27) - utility: 65.834
(2, 28) - utility: 61.818
(2, 29) - utility: 74.148
(2, 30) - utility: 73.236
(2, 31) - utility: 70.425
(2, 32) - utility: 69.386
(2, 33) - utility: 66.711
(2, 34) - utility: 65.172
(2, 35) - utility: 62.930
(2, 36) - utility: 62.307
(2, 37) - utility: 61.797
(2, 38) - utility: 59.797
(2, 39) - utility: 58.868
(2, 40) - utility: 60.247
(2, 41) - utility: 58.911
(2, 42) - utility: 58.646
(2, 43) - utility: 55.237
(2, 44) - utility: 56.308
(2, 45) - utility: 63.473
(2, 46) - utility: 77.455
(2, 47) - utility: 85.385
(2, 48) - utility: 84.207
(2, 49) - utility: 79.798
(2, 50) - utility: 77.489
(2, 51) - utility: 76.050
(2, 52) - utility: 73.214
(2, 53) - utility: 66.453
(2, 54) - utility: 65.179
(2, 55) - utility: 63.713
(2, 56) - utility: 61.901
(2, 57) - utility: 60.376
(2, 59) - utility: 55.964
(2, 60) - utility: 56.436
(2, 61) - utility: 56.679
(2, 63) - utility: 57.151
(2, 64) - utility: 54.961
(2, 65) - utility: 54.244
(2, 66) - utility: 54.395
(2, 67) - utility: 56.533
(2, 68) - utility: 54.877
(2, 69) - utility: 54.622
(2, 70) - utility: 52.980
(2, 71) - utility: 55.919
(2, 72) - utility: 60.340
(2, 73) - utility: 63.977
(2, 75) - utility: 80.357
(2, 76) - utility: 79.838
(2, 77) - utility: 78.379
(2, 78) - utility: 76.183
(2, 79) - utility: 73.875
(2, 80) - utility: 71.447
(2, 81) - utility: 67.303
(2, 83) - utility: 61.802
(2, 85) - utility: 67.651
(2, 86) - utility: 66.264
(2, 87) - utility: 65.117
(2, 89) - utility: 62.131
(2, 91) - utility: 58.775
(2, 92) - utility: 56.882
(2, 94) - utility: 59.584
(2, 95) - utility: 58.886
(2, 96) - utility: 61.427
(2, 97) - utility: 60.443
(2, 99) - utility: 62.566
(3, 0) - utility: 29.801
(3, 2) - utility: 34.976
(3, 3) - utility: 30.040
(3, 4) - utility: 28.543
(3, 5) - utility: 31.935
(3, 9) - utility: 42.684
(3, 11) - utility: 44.671
(3, 12) - utility: 44.972
(3, 13) - utility: 42.757
(3, 14) - utility: 46.772
(3, 15) - utility: 61.803
(3, 16) - utility: 61.970
(3, 17) - utility: 58.297
(3, 18) - utility: 53.886
(3, 19) - utility: 53.676
(3, 20) - utility: 54.996
(3, 21) - utility: 56.625
(3, 22) - utility: 56.120
(3, 23) - utility: 61.472
(3, 24) - utility: 63.711
(3, 25) - utility: 64.686
(3, 26) - utility: 67.924
(3, 29) - utility: 76.791
(3, 30) - utility: 74.448
(3, 31) - utility: 71.144
(3, 33) - utility: 51.415
(3, 34) - utility: 58.343
(3, 35) - utility: 58.566
(3, 36) - utility: 61.667
(3, 37) - utility: 62.686
(3, 38) - utility: 59.939
(3, 39) - utility: 60.586
(3, 40) - utility: 61.397
(3, 41) - utility: 60.784
(3, 42) - utility: 59.830
(3, 43) - utility: 54.112
(3, 46) - utility: 79.241
(3, 47) - utility: 87.652
(3, 49) - utility: 80.594
(3, 50) - utility: 78.410
(3, 51) - utility: 77.236
(3, 52) - utility: 75.892
(3, 53) - utility: 67.869
(3, 54) - utility: 66.076
(3, 55) - utility: 64.612
(3, 56) - utility: 62.698
(3, 57) - utility: 62.210
(3, 58) - utility: 61.197
(3, 59) - utility: 57.875
(3, 60) - utility: 57.228
(3, 61) - utility: 57.476
(3, 62) - utility: 57.415
(3, 63) - utility: 56.884
(3, 64) - utility: 55.522
(3, 65) - utility: 54.871
(3, 66) - utility: 54.885
(3, 67) - utility: 56.458
(3, 68) - utility: 55.446
(3, 69) - utility: 55.536
(3, 70) - utility: 54.340
(3, 71) - utility: 56.491
(3, 72) - utility: 61.251
(3, 75) - utility: 80.174
(3, 76) - utility: 79.702
(3, 77) - utility: 79.512
(3, 78) - utility: 77.209
(3, 79) - utility: 76.085
(3, 81) - utility: 68.898
(3, 82) - utility: 68.480
(3, 83) - utility: 63.846
(3, 84) - utility: 65.504
(3, 85) - utility: 65.610
(3, 86) - utility: 64.017
(3, 87) - utility: 62.838
(3, 88) - utility: 64.684
(3, 89) - utility: 62.966
(3, 90) - utility: 62.105
(3, 91) - utility: 59.804
(3, 92) - utility: 58.626
(3, 93) - utility: 57.687
(3, 94) - utility: 60.474
(3, 95) - utility: 60.488
(3, 96) - utility: 62.694
(3, 97) - utility: 61.134
(3, 98) - utility: 59.758
(3, 99) - utility: 60.047
(4, 0) - utility: 31.440
(4, 1) - utility: 32.523
(4, 2) - utility: 37.297
(4, 4) - utility: 21.728
(4, 5) - utility: 34.025
(4, 6) - utility: 34.062
(4, 7) - utility: 30.569
(4, 9) - utility: 43.274
(4, 10) - utility: 42.161
(4, 11) - utility: 41.925
(4, 13) - utility: 32.636
(4, 14) - utility: 46.036
(4, 15) - utility: 64.493
(4, 17) - utility: 60.389
(4, 18) - utility: 54.092
(4, 20) - utility: 55.703
(4, 21) - utility: 58.870
(4, 22) - utility: 57.360
(4, 23) - utility: 61.375
(4, 24) - utility: 64.725
(4, 25) - utility: 63.957
(4, 27) - utility: 99.988
(4, 28) - utility: 94.530
(4, 30) - utility: 64.847
(4, 31) - utility: 62.713
(4, 32) - utility: 61.812
(4, 34) - utility: 61.181
(4, 35) - utility: 58.997
(4, 36) - utility: 62.757
(4, 38) - utility: 60.322
(4, 39) - utility: 62.593
(4, 40) - utility: 61.088
(4, 41) - utility: 60.332
(4, 43) - utility: 55.344
(4, 44) - utility: 54.254
(4, 47) - utility: 88.548
(4, 48) - utility: 87.393
(4, 49) - utility: 80.623
(4, 50) - utility: 78.011
(4, 53) - utility: 69.210
(4, 54) - utility: 68.133
(4, 55) - utility: 66.747
(4, 56) - utility: 64.574
(4, 57) - utility: 63.112
(4, 58) - utility: 60.996
(4, 59) - utility: 58.322
(4, 60) - utility: 57.890
(4, 61) - utility: 59.503
(4, 62) - utility: 58.250
(4, 63) - utility: 57.757
(4, 64) - utility: 54.872
(4, 65) - utility: 54.218
(4, 66) - utility: 54.121
(4, 67) - utility: 56.232
(4, 68) - utility: 53.925
(4, 69) - utility: 52.678
(4, 70) - utility: 52.025
(4, 71) - utility: 55.615
(4, 72) - utility: 62.670
(4, 74) - utility: 84.206
(4, 75) - utility: 82.508
(4, 76) - utility: 80.724
(4, 77) - utility: 79.517
(4, 78) - utility: 78.088
(4, 79) - utility: 76.956
(4, 80) - utility: 75.363
(4, 81) - utility: 69.871
(4, 82) - utility: 68.609
(4, 83) - utility: 65.128
(4, 84) - utility: 66.576
(4, 85) - utility: 66.701
(4, 86) - utility: 64.825
(4, 87) - utility: 63.304
(4, 89) - utility: 56.820
(4, 90) - utility: 61.899
(4, 91) - utility: 59.156
(4, 92) - utility: 57.277
(4, 93) - utility: 56.405
(4, 94) - utility: 61.635
(4, 95) - utility: 59.715
(4, 97) - utility: 55.921
(4, 98) - utility: 55.194
(4, 99) - utility: 55.803
(5, 0) - utility: 31.752
(5, 2) - utility: 38.415
(5, 3) - utility: 36.306
(5, 5) - utility: 36.037
(5, 6) - utility: 34.983
(5, 8) - utility: 37.169
(5, 9) - utility: 38.134
(5, 10) - utility: 37.926
(5, 12) - utility: 40.343
(5, 15) - utility: 67.665
(5, 16) - utility: 64.402
(5, 17) - utility: 63.201
(5, 18) - utility: 55.251
(5, 19) - utility: 54.512
(5, 20) - utility: 57.273
(5, 21) - utility: 58.935
(5, 22) - utility: 58.656
(5, 23) - utility: 62.283
(5, 24) - utility: 66.107
(5, 28) - utility: 70.511
(5, 29) - utility: 68.906
(5, 30) - utility: 67.196
(5, 31) - utility: 64.614
(5, 32) - utility: 62.530
(5, 33) - utility: 61.733
(5, 34) - utility: 60.964
(5, 35) - utility: 60.262
(5, 37) - utility: 57.610
(5, 38) - utility: 56.700
(5, 40) - utility: 55.318
