number of iterations required: 161
---utility for each state (row, column)---
(0, 0) - utility: 79.972
(0, 1) - utility: 79.972
(0, 2) - utility: 79.972
(0, 3) - utility: 78.518
(0, 4) - utility: 77.239
(0, 5) - utility: 78.301
(0, 6) - utility: 79.567
(0, 7) - utility: 78.665
(0, 8) - utility: 78.681
(0, 9) - utility: 77.228
(0, 10) - utility: 75.829
(0, 11) - utility: 74.459
(0, 12) - utility: 73.116
(0, 13) - utility: 71.905
(0, 14) - utility: 70.709
(0, 15) - utility: 68.252
(0, 16) - utility: 68.419
(0, 17) - utility: 67.376
(0, 18) - utility: 68.326
(0, 19) - utility: 69.213
(0, 20) - utility: 71.397
(0, 21) - utility: 72.485
(0, 22) - utility: 73.123
(0, 23) - utility: 74.238
(0, 24) - utility: 76.532
(0, 25) - utility: 76.604
(0, 26) - utility: 77.876
(0, 27) - utility: 79.453
(0, 28) - utility: 79.444
(0, 29) - utility: 79.311
(0, 30) - utility: 78.024
(0, 32) - utility: 74.681
(0, 33) - utility: 74.147
(0, 35) - utility: 79.972
(0, 37) - utility: 73.938
(0, 38) - utility: 72.716
(0, 39) - utility: 71.376
(0, 40) - utility: 70.288
(0, 41) - utility: 69.941
(0, 42) - utility: 71.121
(0, 43) - utility: 71.000
(0, 45) - utility: -79.972
(0, 47) - utility: 74.393
(0, 48) - utility: 74.394
(0, 49) - utility: 74.935
(0, 51) - utility: 71.708
(0, 52) - utility: 70.518
(0, 53) - utility: 70.479
(0, 54) - utility: 69.175
(0, 56) - utility: 60.582
(0, 57) - utility: 61.637
(0, 58) - utility: 62.079
(0, 59) - utility: 63.032
(0, 61) - utility: 68.063
(0, 62) - utility: 70.227
(0, 63) - utility: 71.291
(0, 64) - utility: 72.340
(0, 65) - utility: 71.153
(0, 67) - utility: 70.410
(0, 68) - utility: 71.057
(0, 69) - utility: 69.939
(0, 70) - utility: 68.837
(0, 71) - utility: 67.802
(0, 72) - utility: 67.674
(0, 73) - utility: 66.870
(0, 74) - utility: 68.729
(0, 75) - utility: 69.019
(0, 77) - utility: 70.181
(0, 78) - utility: 71.209
(0, 80) - utility: 70.715
(0, 81) - utility: 72.056
(0, 82) - utility: 71.960
(0, 83) - utility: 74.367
(0, 84) - utility: 74.431
(0, 85) - utility: 73.207
(0, 86) - utility: 71.896
(0, 87) - utility: 69.676
(0, 88) - utility: 68.529
(0, 91) - utility: 65.874
(0, 92) - utility: 66.978
(0, 93) - utility: 68.114
(0, 94) - utility: 67.902
(0, 95) - utility: 69.155
(0, 96) - utility: 70.328
(0, 97) - utility: 70.205
(0, 98) - utility: 70.445
(0, 99) - utility: 71.488
(1, 1) - utility: 78.676
(1, 3) - utility: 77.239
(1, 5) - utility: 78.512
(1, 6) - utility: 79.833
(1, 7) - utility: 79.847
(1, 9) - utility: 75.829
(1, 10) - utility: 74.721
(1, 11) - utility: 73.447
(1, 12) - utility: 72.187
(1, 15) - utility: 67.611
(1, 16) - utility: 68.424
(1, 17) - utility: 68.262
(1, 18) - utility: 69.497
(1, 19) - utility: 70.825
(1, 20) - utility: 72.305
(1, 21) - utility: 73.755
(1, 22) - utility: 73.996
(1, 23) - utility: 75.491
(1, 24) - utility: 75.586
(1, 25) - utility: 76.580
(1, 26) - utility: 75.539
(1, 28) - utility: 79.311
(1, 29) - utility: 78.166
(1, 31) - utility: 72.944
(1, 32) - utility: 74.039
(1, 33) - utility: 75.320
(1, 34) - utility: 76.871
(1, 35) - utility: 78.319
(1, 36) - utility: 76.874
(1, 37) - utility: 75.328
(1, 39) - utility: 70.288
(1, 40) - utility: 71.109
(1, 42) - utility: 71.146
(1, 43) - utility: 72.178
(1, 44) - utility: 72.064
(1, 46) - utility: 74.742
(1, 47) - utility: 75.632
(1, 48) - utility: 75.565
(1, 49) - utility: 73.493
